molecule_ID,MOL_ID,file_ID,molecule_name,ob,mw,alogp,caco2,bbb,halflife,hdon,hacc,dl,FASA
3126,MOL003126,lbh_jyh_Molecule87.mol2,alpha cadinene,18.7279395985,204.390,4.745,1.85103,2.05407,,0,0,0.077252,0
3304,MOL003304,lbh_lq_Molecule300.mol2,Hentriacontan,8.06805778401,436.950,14.514,1.88370,1.79584,,0,0,0.50918,0.15427642
449,MOL000449,fyp_htp_Molecule484.mol2,Stigmasterol,43.8298515785,412.770,7.640,1.44458,1.00045,5.574595,1,1,0.75665,0.21679397
3484,MOL003484,lbh_nss_Molecule76.mol2,PEY,25.6968565428,178.240,3.647,1.88471,1.79192,,0,0,0.097919,0.52019757
3501,MOL003501,lbh_nstg_Molecule9.mol2,"(2R,4aS,6S,8aR)-2,6-dimethyldecalin",46.933182029,166.340,4.285,1.77440,2.06569,-10.60618,0,0,0.046821,0.1678946
3535,MOL003535,lbh_rg_Molecule67.mol2,"1,1,6-trimethyl-2H-naphthalene",24.9373327322,172.290,3.843,1.88473,1.99003,,0,0,0.061599,0.34404507
3547,MOL003547,lbh_scp_Molecule17.mol2,Azaron,38.3857473052,208.280,2.735,1.42116,1.18131,4.546558,0,3,0.060667,0
356,MOL000356,fyp_hjs_Molecule460.mol2,lupeol,12.1207641316,426.800,7.403,1.45673,1.28834,,1,1,0.77716,0.23574193
358,MOL000358,fyp_hjs_Molecule461_qt.mol2,beta-sitosterol,36.9139058327,414.790,8.084,1.32463,0.98588,5.355491,1,1,0.75123,0.22550575
3800,MOL003800,lbh_sl_Molecule18.mol2,CIR,52.9602467644,175.220,-1.325,-0.86486,-1.45509,0.898671,6,6,0.033089,0.30707181
388,MOL000388,fyp_hq_Molecule208.mol2,gamma-aminobutyric acid,24.0890681343,103.140,-0.622,-0.26362,-0.57268,,3,3,0.0070086,0
397,MOL000397,fyp_hq_Molecule220.mol2,cis-p-Coumarate,45.9822268849,164.170,1.635,0.46198,0.36202,4.88714,2,3,0.039073,0
40,MOL000040,fyp_bz_Molecule30.mol2,Scopoletol,27.7734608153,192.180,1.616,0.71351,0.29931,,1,4,0.076154,0
421,MOL000421,fyp_hq_Molecule258.mol2,nicotinic acid,47.6452927768,123.120,0.284,0.33848,0.20967,11.9826,1,3,0.020168,0
429,MOL000429,fyp_hq_Molecule269.mol2,Crystal VI,83.95759702,132.140,-1.847,-0.88421,-1.15352,11.589,5,5,0.016451,0
