molecule_ID,MOL_ID,file_ID,molecule_name,ob,mw,alogp,caco2,bbb,halflife,hdon,hacc,dl,FASA,herb_cn,herb_pinyin
9106,MOL009106,wjn_htr_Molecule22.mol2,glansrin A,19.45360082,1104.790,3.699,-3.42439,-4.98616,,18,31,0.023376,0.40126416,核桃仁,Hetaoren
9107,MOL009107,wjn_htr_Molecule23.mol2,glansrin B,47.2367489686,906.650,2.851,-2.70901,-3.78096,6.268806,14,25,0.019515,0.36353138,核桃仁,Hetaoren
9108,MOL009108,wjn_htr_Molecule24.mol2,glansrin C,20.8655578375,932.690,2.010,-2.91858,-4.06941,,15,25,0.026001,0.3556397,核桃仁,Hetaoren
9109,MOL009109,wjn_htr_Molecule25.mol2,glansrin D,6.628373922,1721.260,5.207,-6.03296,-7.60877,,27,48,0.00069809,0.38569811,核桃仁,Hetaoren
9110,MOL009110,wjn_htr_Molecule26.mol2,heterophylliin D,7.27116500119,1855.350,6.095,-6.11378,-7.80510,,29,51,0.00015207,0.38971651,核桃仁,Hetaoren
9111,MOL009111,wjn_htr_Molecule27.mol2,hippomanin A,11.4448472319,634.490,0.899,-1.90644,-2.54562,,11,18,0.44136,0.35367438,核桃仁,Hetaoren
9112,MOL009112,wjn_htr_Molecule28.mol2,isostrictinin,8.68068505869,634.490,0.899,-2.09057,-3.04779,,11,18,0.45873,0.3520717,核桃仁,Hetaoren
12794,MOL012794,zjx_yjh_Molecule973.mol2,Juglanin,2.72821756059,418.380,0.191,-1.13016,-1.82263,,6,10,0.65078,0.34922066,核桃仁,Hetaoren
9114,MOL009114,wjn_htr_Molecule3.mol2,"1,2-di-O-galloyl-4,6-HHDP-bata-D-glucose",18.1915623804,802.590,1.872,-2.41546,-3.30416,,14,23,0.20832,0.37967595,核桃仁,Hetaoren
9115,MOL009115,wjn_htr_Molecule30.mol2,juglone,25.7430499875,174.160,1.490,0.41977,0.15710,,1,3,0.066512,0.48262203,核桃仁,Hetaoren
9116,MOL009116,wjn_htr_Molecule31.mol2,Methyl sterculate,5.14115858037,308.560,7.151,1.48227,1.24949,,0,2,0.20738,0.17010377,核桃仁,Hetaoren
9117,MOL009117,wjn_htr_Molecule32.mol2,"methyl 8-[(1R,2S)-2-octylcyclopropyl]octanoate",21.131970707,310.580,7.207,1.41361,1.16677,,0,2,0.20535,0.16156453,核桃仁,Hetaoren
9118,MOL009118,wjn_htr_Molecule33.mol2,Methyl tri-O-methylgallate,21.3407658121,226.250,1.636,1.02464,0.70313,,0,5,0.07521,0.14179748,核桃仁,Hetaoren
9119,MOL009119,wjn_htr_Molecule34.mol2,platycaryanin A,13.1428635788,1104.790,3.699,-3.36462,-4.63896,,18,31,0.023493,0.3955535,核桃仁,Hetaoren
9120,MOL009120,wjn_htr_Molecule35.mol2,pterocarinin A,8.42174330545,1068.810,0.546,-4.09072,-5.17076,,19,30,0.041961,0.37139836,核桃仁,Hetaoren
9121,MOL009121,wjn_htr_Molecule36.mol2,rugosin C,13.3893655925,1104.790,3.699,-3.36577,-4.47749,,18,31,0.023518,0.38644913,核桃仁,Hetaoren
9122,MOL009122,wjn_htr_Molecule37.mol2,rugosin F,7.34906350098,1857.370,6.406,-5.34823,-7.07513,,29,51,0.00055677,0.40037444,核桃仁,Hetaoren
9123,MOL009123,wjn_htr_Molecule38.mol2,stenophyllanin A,13.6379784544,1208.950,4.698,-3.45097,-4.88157,,20,31,0.0080446,0.37684658,核桃仁,Hetaoren
9124,MOL009124,wjn_htr_Molecule39.mol2,tellimagrandin I,3.01372069231,786.590,1.969,-2.36624,-3.30623,,13,22,0.31675,0.37886566,核桃仁,Hetaoren
9125,MOL009125,wjn_htr_Molecule4.mol2,"11,12-methylene octadecanoate",21.131970707,310.580,7.207,1.40822,1.16520,,0,2,0.20619,0.16749147,核桃仁,Hetaoren
