molecule_name,SMILES,PubChem_CID
"4alpha,14alpha,24-trimethylcholesta-8,24-dienol",CC1CCCC2(C1CCC3=C2CCC4(C3(CCC4C(C)CCC(=C(C)CO)C)C)C)C,129716078
"4alpha,24-dimethylcholesta-7,24-dienol",CC1CCCC2(C1CC=C3C2CCC4(C3CCC4C(C)CCC(=C(C)CO)C)C)C,129726843
"4alpha-methyl-24-ethylcholesta-7,24-dienol",CCC(=C(C)CO)CCC(C)C1CCC2C1(CCC3C2=CCC4C3(CCCC4C)C)C,66727568
6-Fluoroindole-7-Dehydrocholesterol,,
7-O-Methylluteolin-6-C-beta-glucoside_qt,,
Atropine,CN1C2CCC1CC(C2)OC(=O)C(CO)C3=CC=CC=C3,174174
Cryptoxanthin monoepoxide,CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC=CC=C(C)C=CC=C(C)C=CC23C(CC(CC2(O3)C)O)(C)C)C)C,5316151
Cycloeucalenol,CC1C2CCC3C4(CCC(C4(CCC35C2(C5)CCC1O)C)C(C)CCC(=C)C(C)C)C,101690
"(E,E)-1-ethyl octadeca-3,13-dienoate",CCCCC=CCCCCCCCCC=CCC(=O)OCC,167993300
"methyl (1R,4aS,7R,7aS)-4a,7-dihydroxy-7-methyl-1-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-1,5,6,7a-tetrahydrocyclopenta[d]pyran-4-carboxylate",,
Lantadene A,CC=C(C)C(=O)OC1CC(CC2C1(CCC3(C2=CCC4C3(CCC5C4(CCC(=O)C5(C)C)C)C)C)C(=O)O)(C)C,6436598
Physalin A,CC12CC(C3(C45C1C(=O)C(O4)(C6C(CCC5(C(=O)O3)O)C7(C(=CC6O)CC=CC7=O)C)O)C)OC(=O)C2=C,44577487
Physcion-8-O-beta-D-gentiobioside,CC1=CC2=C(C(=C1)OC3C(C(C(C(O3)COC4C(C(C(C(O4)CO)O)O)O)O)O)O)C(=O)C5=C(C2=O)C=C(C=C5O)OC,5320543
lanost-8-en-3beta-ol,CC(C)CCCC(C)C1CCC2(C1(CCC3=C2CCC4C3(CCC(C4(C)C)O)C)C)C,440560
lanost-8-enol,,
Obtusifoliol,CC1C2CCC3=C(C2(CCC1O)C)CCC4(C3(CCC4C(C)CCC(=C)C(C)C)C)C,65252
quercetin,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,5280343
dIDP,C1C(C(OC1N2C=NC3=C2N=CNC3=O)COP(=O)(O)OP(=O)(O)O)O,135398667
"(6Z,10E,14E,18E)-2,6,10,15,19,23-hexamethyltetracosa-2,6,10,14,18,22-hexaene",CC(=CCCC(=CCCC(=CCCC=C(C)CCC=C(C)CCC=C(C)C)C)C)C,11975273
morin,C1=CC(=C(C=C1O)O)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O,5281670
beta-carotene,CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC=CC=C(C)C=CC=C(C)C=CC2=C(CCCC2(C)C)C)C)C,5280489
"(2R)-2-[(3S,5R,10S,13R,14R,16R,17R)-3,16-dihydroxy-4,4,10,13,14-pentamethyl-2,3,5,6,12,15,16,17-octahydro-1H-cyclopenta[a]phenanthren-17-yl]-6-methylhept-5-enoic acid",CC(=CCCC(C1C(CC2(C1(CC=C3C2=CCC4C3(CCC(C4(C)C)O)C)C)C)O)C(=O)O)C,10743008
trametenolic acid,CC(=CCCC(C1CCC2(C1(CCC3=C2CCC4C3(CCC(C4(C)C)O)C)C)C)C(=O)O)C,12309443
"7,9(11)-dehydropachymic acid",,
Cerevisterol,CC(C)C(C)C=CC(C)C1CCC2C1(CCC3C2=CC(C4(C3(CCC(C4)O)C)O)O)C,10181133
"(2R)-2-[(3S,5R,10S,13R,14R,16R,17R)-3,16-dihydroxy-4,4,10,13,14-pentamethyl-2,3,5,6,12,15,16,17-octahydro-1H-cyclopenta[a]phenanthren-17-yl]-5-isopropyl-hex-5-enoic acid",,
"ergosta-7,22E-dien-3beta-ol",,
Ergosterol peroxide,CC(C)C(C)C=CC(C)C1CCC2C1(CCC3C24C=CC5(C3(CCC(C5)O)C)OO4)C,5351516
"(2R)-2-[(5R,10S,13R,14R,16R,17R)-16-hydroxy-3-keto-4,4,10,13,14-pentamethyl-1,2,5,6,12,15,16,17-octahydrocyclopenta[a]phenanthren-17-yl]-5-isopropyl-hex-5-enoic acid",,
3beta-Hydroxy-24-methylene-8-lanostene-21-oic acid,CC(C)C(=C)CCC(C1CCC2(C1(CCC3=C2CCC4C3(CCC(C4(C)C)O)C)C)C)C(=O)O,73402
pachymic acid,CC(C)C(=C)CCC(C1C(CC2(C1(CCC3=C2CCC4C3(CCC(C4(C)C)OC(=O)C)C)C)C)O)C(=O)O,5484385
Poricoic acid A,CC(C)C(=C)CCC(C1C(CC2(C1(CC=C3C2=CCC(C3(C)CCC(=O)O)C(=C)C)C)C)O)C(=O)O,5471851
Poricoic acid B,CC(=CCCC(C1C(CC2(C1(CC=C3C2=CCC(C3(C)CCC(=O)O)C(=C)C)C)C)O)C(=O)O)C,5471852
poricoic acid C,CC(C)C(=C)CCC(C1CCC2(C1(CC=C3C2=CCC(C3(C)CCC(=O)O)C(=C)C)C)C)C(=O)O,56668247
hederagenin,CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)CO)O)C)C)C2C1)C)C(=O)O)C,73299
dehydroeburicoic acid,CC(C)C(=C)CCC(C1CCC2(C1(CC=C3C2=CCC4C3(CCC(C4(C)C)O)C)C)C)C(=O)O,15250826
(R)-Norcoclaurine,C1CNC(C2=CC(=C(C=C21)O)O)CC3=CC=C(C=C3)O,440988
luteolin,C1=CC(=C(C=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O)O,5280445
Armepavine,CN1CCC2=CC(=C(C=C2C1CC3=CC=C(C=C3)O)OC)OC,442169
Nuciferin,CN1CCC2=CC(=C(C3=C2C1CC4=CC=CC=C43)OC)OC,10146
14-Methyl-24-methylene-dihydromangiferodiol,,
4'-methyl-N-methylcoclaurine,CN1CCC2=CC(=C(C=C2C1CC3=CC=C(C=C3)OC)O)OC,3014795
NSC90384,CC12CCC(CC1CCC3C2C(CC4(C3(CCC4C5=COC(=O)C=C5)O)C)O)O,259803
Loureirin A,COC1=CC(=C(C=C1)CCC(=O)C2=CC=C(C=C2)O)OC,5319081
"(1R)-6,7-dimethoxy-1-(4-methoxybenzyl)-2-methyl-3,4-dihydro-1H-isoquinoline",,
Pronuciferin,CN1CCC2=CC(=C(C3=C2C1CC34C=CC(=O)C=C4)OC)OC,200480
Isopimaric acid,CC1(CCC2C(=CCC3C2(CCCC3(C)C(=O)O)C)C1)C=C,442048
"26-O-beta-D-Glucopyranosyl-3beta,26-dihydroxy-choleslen-16,22-dioxo-3-O-alpha-L-rhamnopyranosyl-(1-2)-beta-D-glucopyranoside_qt",,
3-Demethylcolchicine,CC(=O)NC1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)OC)OC)OC)O,299664
"26-O-β-D-glucopyranosyl-3β,26-dihydroxy-5-cholesten-16,22-dioxo-3-O-α-L-rhamnopyranosyl-(1→2)-β-D-glucopyranoside_qt",,
"26-O-β-D-glucopyranosyl-3β,26-dihydroxy-cholestan-16,22-dioxo-3-O-α-L-rhamnopyranosyl-(1→2)-β-D-glucopyranoside_qt",,
sitosterol palmitate,CCCCCCCCCCCCCCCC(=O)OC1CCC2(C3CCC4(C(C3CC=C2C1)CCC4C(C)CCC(CC)C(C)C)C)C,9852570
Longikaurin A,CC1(CCCC23C1C(C(C45C2CCC(C4O)C(=C)C5=O)(OC3)O)O)C,102117144
Deoxyharringtonine,CC(C)CCC(CC(=O)OC)(C(=O)OC1C2C3=CC4=C(C=C3CCN5C2(CCC5)C=C1OC)OCO4)O,285342
Angeloylgomisin O,CC=C(C)C(=O)OC1C(C(CC2=CC3=C(C(=C2C4=C(C(=C(C=C14)OC)OC)OC)OC)OCO3)C)C,91864462
Schizandrer B,CC=C(C)C(=O)OC1C2=CC(=C(C(=C2C3=C(C4=C(C=C3CC(C1(C)O)C)OCO4)OC)OC)OC)OC,5318785
Gomisin-A,CC1CC2=CC3=C(C(=C2C4=C(C(=C(C=C4CC1(C)O)OC)OC)OC)OC)OCO3,3001662
Gomisin G,CC1CC2=CC(=C(C(=C2C3=C(C4=C(C=C3C(C1(C)O)OC(=O)C5=CC=CC=C5)OCO4)OC)OC)OC)OC,14992067
