molecule_ID,MOL_ID,file_ID,molecule_name,ob,mw,alogp,caco2,bbb,halflife,hdon,hacc,dl,FASA
3997,MOL003997,lbh_wzy_Molecule56.mol2,3-Furaldehyde,50.9588947506,96.090,0.693,1.04314,1.21049,-3.0795,0,2,0.010481,0.19475
4174,MOL004174,lbh_xxc_Molecule13.mol2,epsilon-Cadinene,16.4104314754,204.390,4.853,1.82033,2.12369,,0,0,0.077488,0.28934929
4608,MOL004608,lh_ch_Molecule2804.mol2,(5S)-5-butyloxolan-2-one,65.0818665466,142.220,2.090,1.15596,1.42639,-0.759544,0,2,0.02095,0.25514299
4624,MOL004624,lh_ch_Molecule2838.mol2,Longikaurin A,47.7221498383,348.480,1.162,0.08296,0.08720,1.710894,3,5,0.53015,0.27365351
4626,MOL004626,lh_ch_Molecule2840.mol2,Longispinogenin,14.4750475819,458.800,5.111,0.23093,-0.20358,,3,3,0.74887,0.22434504
4678,MOL004678,lh_ch_Molecule2961.mol2,Limetin,36.63110334,206.210,1.867,0.87662,0.47003,1.332748,0,4,0.086466,0.22356841
4723,MOL004723,lh_ch_Molecule3074.mol2,beta-Terpinene,42.2892516553,136.260,3.503,1.84731,2.11859,11.207892,0,0,0.022295,0.29296112
479,MOL000479,fyp_jxt_Molecule314.mol2,Farnesene,17.4180687339,204.390,5.515,1.95385,2.20961,,0,0,0.047569,0
5317,MOL005317,lh_rs_Molecule2383.mol2,Deoxyharringtonine,39.2744398817,515.660,3.127,0.18714,-0.24531,7.898127,1,9,0.8116,0.22551122
5322,MOL005322,lh_rs_Molecule2392.mol2,Gamma-Selinene,22.5808351383,204.390,4.948,1.83717,2.10580,,0,0,0.08087,0.2592876
5394,MOL005394,lh_rs_Molecule2510.mol2,"(Z)-2-methyl-5-[(1S,2R,4R)-2-methyl-3-methylene-2-norbornanyl]pent-2-en-1-ol",35.2833652101,220.390,3.663,1.27792,1.24873,1.940161,1,1,0.088125,0.27033174
5604,MOL005604,lh_wlx_Molecule593.mol2,Schisandrin,7.69332359451,432.560,4.051,0.57216,0.10176,,1,7,0.65976,0.14988346
608,MOL000608,fyp_pl_Molecule244.mol2,()-Terpinen-4-ol,81.4066718802,154.280,2.550,1.36161,1.66275,10.805992,1,1,0.032323,0.2544488
611,MOL000611,fyp_pl_Molecule248.mol2,beta-Bourbonene,16.9789175738,204.390,4.223,1.81522,2.10820,,0,0,0.11333,0.26866132
6126,MOL006126,lmm_sj_Molecule060.mol2,Hexahydrocurcumin,4.87634023652,374.470,3.310,0.12498,-0.91707,,3,6,0.40571,0.2522909
615,MOL000615,fyp_pl_Molecule258.mol2,delta-amorphene,17.9460965531,204.390,4.940,1.85086,1.99416,,0,0,0.077173,0.24496336
6292,MOL006292,lp_cp_Molecule140.mol2,δ-selinene,19.0103450648,204.390,4.894,1.86319,2.05984,,0,0,0.080616,0.23136747
676,MOL000676,fyp_qjb_Molecule295.mol2,DBP,64.5416405,278.380,4.198,0.8008,0.55504,5.40558,0,4,0.13409,0.34491694
696,MOL000696,fyp_qnj_Molecule322.mol2,β-terpineol,47.8883639354,154.280,2.469,1.28646,1.48026,11.220544,1,1,0.031028,0.27832165
