molecule_ID,MOL_ID,file_ID,molecule_name,ob,mw,alogp,caco2,bbb,halflife,hdon,hacc,dl,FASA,herb_cn,herb_pinyin,SMILES,PubChem_CID,molecule_name_cn
3889.0,MOL003889,lbh_td_Molecule15_qt.mol2,methylprotodioscin_qt,35.1164010273,446.74,4.276,0.20346,-0.44726,5.477112,2.0,4.0,0.8591,0.19034736,黄精,Huangjing,CC1C2C(CC3C2(CCC4C3CC=C5C4(CCC(C5)OC6C(C(C(C(O6)CO)OC7C(C(C(C(O7)C)O)O)O)O)OC8C(C(C(C(O8)C)O)O)O)C)C)OC1(CCC(C)COC9C(C(C(C(O9)CO)O)O)O)OC,11263254.0,甲基原薯蓣皂苷元
4941.0,MOL004941,lh_gc_Molecule269_qt.mol2,(2R)-7-hydroxy-2-(4-hydroxyphenyl)chroman-4-one,71.1229890138,256.27,2.565,0.41458,-0.24532,18.093254,2.0,4.0,0.18303,0.0,黄精,Huangjing,C1C(OC2=C(C1=O)C=CC(=C2)O)C3=CC=C(C=C3)O,928837.0,(2R)-7-羟基-2-(4-羟基苯基)色满-4-酮
546.0,MOL000546,fyp_ltj_Molecule110.mol2,diosgenin,80.8779249091,414.69,4.634,0.81998,0.27383,4.137054,1.0,3.0,0.80979,0.19077273,黄精,Huangjing,CC1CCC2(C(C3C(O2)CC4C3(CCC5C4CC=C6C5(CCC(C6)O)C)C)C)OC1,99474.0,薯蓣皂苷元
6331.0,MOL006331,lp_djc_Molecule39.mol2,"4',5-Dihydroxyflavone",48.5512035242,254.25,2.602,0.75796,-0.02614,18.006086,2.0,4.0,0.1859,0.0,黄精,Huangjing,C1=CC(=C2C(=C1)OC(=CC2=O)C3=CC=C(C=C3)O)O,165521.0,"4',5-二羟基黄酮"
9760.0,MOL009760,wy_hj_Molecule908_qt.mol2,sibiricoside A_qt,35.2581888819,432.71,3.878,0.15842,-0.75239,5.4356,2.0,4.0,0.86193,0.21883368,黄精,Huangjing,CC1C2C(CC3C2(CCC4C3CC=C5C4(CCC(C5)OC6C(C(C(C(O6)CO)OC7C(C(C(C(O7)CO)O)OC8C(C(C(CO8)O)O)O)OC9C(C(C(C(O9)CO)O)O)O)O)O)C)C)OC1(CCC(C)COC1C(C(C(C(O1)CO)O)O)O)OC,46173928.0,
9763.0,MOL009763,wy_hj_Molecule914.mol2,(+)-Syringaresinol-O-beta-D-glucoside,43.3530842761,580.64,0.196,-0.96761,-1.83304,3.20428,5.0,13.0,0.76682,0.19242804,黄精,Huangjing,,,
9766.0,MOL009766,wy_hj_Molecule919.mol2,zhonghualiaoine 1,34.7192232154,458.75,3.571,0.30761,-0.38271,5.254505,2.0,4.0,0.77592,0.206333,黄精,Huangjing,,,
1323.0,MOL001323,hc_tr_Molecule19.mol2,Sitosterol alpha1,43.281270422,426.8,8.153,1.41477,0.97257,5.640765,1.0,1.0,0.78354,0.23716514,枸杞子,Gouqizi,CC=C(CCC(C)C1CCC2C1(CCC3C2=CCC4C3(CCC(C4C)O)C)C)C(C)C,9548595.0,α-谷甾醇
3578.0,MOL003578,lbh_scp_Molecule92.mol2,Cycloartenol,38.685659058,426.8,7.554,1.52617,1.33261,5.003719,1.0,1.0,0.78093,0.0,枸杞子,Gouqizi,CC(CCC=C(C)C)C1CCC2(C1(CCC34C2CCC5C3(C4)CCC(C5(C)C)O)C)C,92110.0,环阿屯醇
1494.0,MOL001494,hcx_ndl_Molecule52.mol2,Mandenol,41.99620045,308.56,6.991,1.45585,1.13821,5.385969,0.0,2.0,0.19321,0.2476896,枸杞子,Gouqizi,CCCCCC=CCC=CCCCCCCCC(=O)OCC,5282184.0,亚油酸乙酯
1495.0,MOL001495,hcx_ndl_Molecule53.mol2,Ethyl linolenate,46.1009632724,306.54,6.546,1.53656,1.12378,6.200513,0.0,2.0,0.19716,0.24799952,枸杞子,Gouqizi,CCC=CCC=CCC=CCCCCCCCC(=O)OCC,5367460.0,亚麻酸乙酯
1979.0,MOL001979,lbh_btw_Molecule26.mol2,LAN,42.1191889704,426.8,8.12,1.51641,1.17987,5.835494,1.0,1.0,0.74787,0.23489921,枸杞子,Gouqizi,,,
