Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Negative Regulation Of Intracellular Signal Transduction (GO:1902532),5/231,0.0004278765324410461,0.004080557813059,0,0,8.725221238938053,67.67871312828457,CAV1;DRD2;MAPK14;DRD3;ESR1
GO_Biological_Process_2023,Regulation Of Blood Vessel Endothelial Cell Migration (GO:0043535),3/54,0.00044195305544086894,0.0041840373204876,0,0,22.504524886877828,173.83185666097347,PRKCA;MAPK14;VEGFA
GO_Biological_Process_2023,Positive Regulation Of Peptidyl-Tyrosine Phosphorylation (GO:0050731),4/130,0.0004496975325941469,0.0042265050708304,0,0,12.33675692499222,95.07858806172706,IL6;TP53;IL2;VEGFA
GO_Biological_Process_2023,"Regulation Of Synaptic Transmission, Glutamatergic (GO:0051966)",3/55,0.0004665431530533366,0.0043221890679298,0,0,22.070636094674555,169.28531098858673,DRD1;DRD2;DRD3
GO_Biological_Process_2023,Positive Regulation Of Tyrosine Phosphorylation Of STAT Protein (GO:0042531),3/55,0.0004665431530533366,0.0043221890679298,0,0,22.070636094674555,169.28531098858673,IL6;IL2;VEGFA
GO_Biological_Process_2023,Negative Regulation Of Potassium Ion Transport (GO:0043267),2/12,0.0004814776145385075,0.0043977215919467,0,0,75.22641509433963,574.6283172633098,CAV1;NOS1
GO_Biological_Process_2023,Positive Regulation Of Sodium Ion Transport (GO:0010765),2/12,0.0004814776145385075,0.0043977215919467,0,0,75.22641509433963,574.6283172633098,NOS1;SCN5A
GO_Biological_Process_2023,Regulation Of Inflammatory Response (GO:0050727),5/240,0.0005092314840059715,0.0046186939493408,0,0,8.38723404255319,63.59710679869946,IL10;IL6;MMP3;PTGS2;IL2
GO_Biological_Process_2023,Acute-Phase Response (GO:0006953),2/13,0.0005680161453256235,0.0049778171654549,0,0,68.38421955403088,511.05993992585104,CRP;IL6
GO_Biological_Process_2023,Regulation Of Response To Stress (GO:0080134),2/13,0.0005680161453256235,0.0049778171654549,0,0,68.38421955403088,511.05993992585104,IL10;OPRM1
GO_Biological_Process_2023,Response To UV-A (GO:0070141),2/13,0.0005680161453256235,0.0049778171654549,0,0,68.38421955403088,511.05993992585104,MMP3;EGFR
GO_Biological_Process_2023,Positive Regulation Of Cyclase Activity (GO:0031281),2/13,0.0005680161453256235,0.0049778171654549,0,0,68.38421955403088,511.05993992585104,NOS1;MAPK14
GO_Biological_Process_2023,Membrane Depolarization (GO:0051899),2/13,0.0005680161453256235,0.0049778171654549,0,0,68.38421955403088,511.05993992585104,CAV1;SCN5A
GO_Biological_Process_2023,Negative Regulation Of Cell Population Proliferation (GO:0008285),6/379,0.0005895200505978639,0.0051315939974861,0,0,6.425124473381846,47.77852233916158,IL10;IL6;ADRA1D;OPRM1;DRD2;TP53
GO_Biological_Process_2023,Negative Regulation Of Cellular Process (GO:0048523),7/537,0.0006431000079036808,0.0055606714016738,0,0,5.342177672955975,39.26078724547418,IL10;IL6;ADRA1D;OPRM1;DRD2;TP53;ESR2
GO_Biological_Process_2023,Positive Regulation Of Acute Inflammatory Response (GO:0002675),2/14,0.0006615177095993661,0.0056446609825682,0,0,62.68238993710692,458.8961346318759,IL6;PTGS2
GO_Biological_Process_2023,Prostanoid Biosynthetic Process (GO:0046457),2/14,0.0006615177095993661,0.0056446609825682,0,0,62.68238993710692,458.8961346318759,PTGS2;PTGS1
GO_Biological_Process_2023,Positive Regulation Of Mitotic Cell Cycle Phase Transition (GO:1901992),3/63,0.0006953044176869378,0.0058628702713606,0,0,19.120192307692307,139.02599274334352,CDK4;EGFR;CDC25B
GO_Biological_Process_2023,Negative Regulation Of Response To External Stimulus (GO:0032102),4/146,0.0006961310885038888,0.0058628702713606,0,0,10.937862468931234,79.51796012151812,IL10;DRD1;DRD2;DRD3
