Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
KEGG_2021_Human,Tuberculosis,3/180,0.0133532469005226,0.0217079406935629,0,0,6.443285528031291,27.80919269848139,IL10;IL6;MAPK14
KEGG_2021_Human,GnRH secretion,2/64,0.0134232676752466,0.0217079406935629,0,0,12.101643335362144,52.16734881176619,PRKCA;ESR2
KEGG_2021_Human,Fc epsilon RI signaling pathway,2/68,0.0150621225458357,0.0241694524572713,0,0,11.365923384791309,47.6865513536084,PRKCA;MAPK14
KEGG_2021_Human,Renin secretion,2/69,0.0154846720836357,0.0246563624716353,0,0,11.1957195156294,46.66269134161318,ADRB1;ADRB2
KEGG_2021_Human,Epithelial cell signaling in Helicobacter pylori infection,2/70,0.0159122954602372,0.0251438561852603,0,0,11.030521642619313,45.6736747027883,MAPK14;EGFR
KEGG_2021_Human,Amyotrophic lateral sclerosis,4/364,0.0177659669131897,0.0278602662956839,0,0,4.266884531590414,17.197552756322175,NOS1;MAPK14;TP53;MTOR
KEGG_2021_Human,Thyroid hormone synthesis,2/75,0.0181254731275181,0.0282103228375658,0,0,10.272421814422332,41.19690026730335,PRKCA;ADCY2
KEGG_2021_Human,Viral carcinogenesis,3/203,0.0183630297445509,0.0282842869242673,0,0,5.695673076923077,22.767974054177145,CDK4;CDK2;TP53
KEGG_2021_Human,Chronic myeloid leukemia,2/76,0.0185829131483109,0.0282842869242673,0,0,10.133095359510454,40.38558093893494,CDK4;TP53
KEGG_2021_Human,Gastric acid secretion,2/76,0.0185829131483109,0.0282842869242673,0,0,10.133095359510454,40.38558093893494,PRKCA;ADCY2
KEGG_2021_Human,Synaptic vesicle cycle,2/78,0.0195123624980995,0.0294821827526029,0,0,9.865441906653428,38.83735460690692,SLC6A2;SLC6A4
KEGG_2021_Human,Human immunodeficiency virus 1 infection,3/212,0.020571297051512,0.030856945577268,0,0,5.44792050055208,21.15895246221894,PRKCA;MAPK14;MTOR
KEGG_2021_Human,Insulin secretion,2/86,0.0234201753228278,0.0346284020844669,0,0,8.922282120395328,33.49565175775767,PRKCA;ADCY2
KEGG_2021_Human,Taste transduction,2/86,0.0234201753228278,0.0346284020844669,0,0,8.922282120395328,33.49565175775767,GABRA6;HTR3A
KEGG_2021_Human,Ras signaling pathway,3/232,0.025981436658664,0.0378743478052355,0,0,4.967080953980517,18.131698057335196,PRKCA;EGFR;VEGFA
KEGG_2021_Human,Thermogenesis,3/232,0.025981436658664,0.0378743478052355,0,0,4.967080953980517,18.131698057335196,ADCY2;MAPK14;MTOR
KEGG_2021_Human,Th1 and Th2 cell differentiation,2/92,0.0265441835896253,0.0384240979234436,0,0,8.324947589098532,30.21077384125998,MAPK14;IL2
KEGG_2021_Human,Dilated cardiomyopathy,2/96,0.0287154891718351,0.041278515684513,0,0,7.969088719389803,28.292803980406767,ADCY2;ADRB1
KEGG_2021_Human,Aldosterone synthesis and secretion,2/98,0.0298270771572632,0.0425807239417482,0,0,7.802279874213837,27.404249305333558,PRKCA;ADCY2
KEGG_2021_Human,Pancreatic secretion,2/102,0.0321010499684915,0.0455131324895735,0,0,7.488679245283019,25.75256848601257,PRKCA;ADCY2
KEGG_2021_Human,Toll-like receptor signaling pathway,2/104,0.0332630106554212,0.0468397496984503,0,0,7.34110247872734,24.984042268438223,IL6;MAPK14
