molecule_ID,MOL_ID,molecule_name,target_name,target_ID,drugbank_ID,validated,SVM_score,RF_score,herb_cn,herb_pinyin
1522,MOL001522,(S)-Coclaurine,Prostaglandin G/H synthase 1,6,20,,0.877146,0.742,酸枣仁,Suanzaoren
1522,MOL001522,(S)-Coclaurine,Muscarinic acetylcholine receptor M1,38,103,,0.921871,0.716,酸枣仁,Suanzaoren
1522,MOL001522,(S)-Coclaurine,Sodium channel protein type 5 subunit alpha,70,220,,0.850357,0.748,酸枣仁,Suanzaoren
1522,MOL001522,(S)-Coclaurine,Prostaglandin G/H synthase 2,94,290,,0.913244,0.812,酸枣仁,Suanzaoren
1522,MOL001522,(S)-Coclaurine,Retinoic acid receptor RXR-alpha,158,459,,0.931726,0.742,酸枣仁,Suanzaoren
1522,MOL001522,(S)-Coclaurine,"CGMP-inhibited 3',5'-cyclic phosphodiesterase A",172,485,,0.889969,0.7,酸枣仁,Suanzaoren
1522,MOL001522,(S)-Coclaurine,Alpha-1A adrenergic receptor,191,556,,0.892882,0.708,酸枣仁,Suanzaoren
1522,MOL001522,(S)-Coclaurine,Alpha-1B adrenergic receptor,216,632,,0.848494,0.744,酸枣仁,Suanzaoren
1522,MOL001522,(S)-Coclaurine,Sodium-dependent dopamine transporter,239,713,,0.8619,0.712,酸枣仁,Suanzaoren
1522,MOL001522,(S)-Coclaurine,Beta-2 adrenergic receptor,261,766,,0.923393,0.732,酸枣仁,Suanzaoren
1522,MOL001522,(S)-Coclaurine,Sodium-dependent serotonin transporter,290,824,,0.901114,0.714,酸枣仁,Suanzaoren
1522,MOL001522,(S)-Coclaurine,Heat shock protein HSP 90,444,1939,,0.946405,0.704,酸枣仁,Suanzaoren
1522,MOL001522,(S)-Coclaurine,Amine oxidase [flavin-containing] B,565,3939,,0.836801,0.704,酸枣仁,Suanzaoren
1522,MOL001522,(S)-Coclaurine,Calmodulin,3907,465,,0.805557,0.742,酸枣仁,Suanzaoren
1522,MOL001522,(S)-Coclaurine,Dopamine D1 receptor,7,23,,0.876622,0.704,酸枣仁,Suanzaoren
1522,MOL001522,(S)-Coclaurine,Muscarinic acetylcholine receptor M3,16,51,,0.906723,0.712,酸枣仁,Suanzaoren
1522,MOL001522,(S)-Coclaurine,Alpha-2A adrenergic receptor,105,318,,0.835484,0.706,酸枣仁,Suanzaoren
1522,MOL001522,(S)-Coclaurine,Carbonic anhydrase II,117,357,,0.839267,0.81,酸枣仁,Suanzaoren
1522,MOL001522,(S)-Coclaurine,Alpha-2C adrenergic receptor,126,378,,0.833122,0.73,酸枣仁,Suanzaoren
1522,MOL001522,(S)-Coclaurine,Alpha-1D adrenergic receptor,272,789,,0.841398,0.738,酸枣仁,Suanzaoren
1522,MOL001522,(S)-Coclaurine,Mu-type opioid receptor,299,847,,0.887279,0.7,酸枣仁,Suanzaoren
1522,MOL001522,(S)-Coclaurine,mRNA of PKA Catalytic Subunit C-alpha,699,6263,,0.865932,0.722,酸枣仁,Suanzaoren
1522,MOL001522,(S)-Coclaurine,Nuclear receptor coactivator 2,3276,6241,,0.851565,0.824,酸枣仁,Suanzaoren
1523,MOL001523,"cyclic adenosine 3',5'-monophosphate(cAMP)",Prostaglandin G/H synthase 2,94,290,,0.914578,0.706,酸枣仁,Suanzaoren
1523,MOL001523,"cyclic adenosine 3',5'-monophosphate(cAMP)",Carbonic anhydrase II,117,357,,0.881055,0.718,酸枣仁,Suanzaoren
1525,MOL001525,Daucosterol,Progesterone receptor,209,614,,0.908982,0.728,酸枣仁,Suanzaoren
1525,MOL001525,Daucosterol,Nuclear receptor coactivator 2,3276,6241,,0.800352,0.71,酸枣仁,Suanzaoren
1529,MOL001529,jujuboside B_qt,Glucocorticoid receptor,308,871,,0.900037,0.718,酸枣仁,Suanzaoren
1530,MOL001530,n-methylasimilobine,Prostaglandin G/H synthase 1,6,20,,0.84981,0.73,酸枣仁,Suanzaoren
1530,MOL001530,n-methylasimilobine,Muscarinic acetylcholine receptor M3,16,51,,0.93396,0.744,酸枣仁,Suanzaoren
1530,MOL001530,n-methylasimilobine,Muscarinic acetylcholine receptor M1,38,103,,0.96096,0.734,酸枣仁,Suanzaoren
1530,MOL001530,n-methylasimilobine,Sodium channel protein type 5 subunit alpha,70,220,,0.92514,0.742,酸枣仁,Suanzaoren
1530,MOL001530,n-methylasimilobine,Muscarinic acetylcholine receptor M5,87,274,,0.92317,0.734,酸枣仁,Suanzaoren
1530,MOL001530,n-methylasimilobine,Prostaglandin G/H synthase 2,94,290,,0.82427,0.798,酸枣仁,Suanzaoren
1530,MOL001530,n-methylasimilobine,5-hydroxytryptamine receptor 3A,113,341,,0.93853,0.71,酸枣仁,Suanzaoren
1530,MOL001530,n-methylasimilobine,Muscarinic acetylcholine receptor M4,154,450,,0.91301,0.724,酸枣仁,Suanzaoren
1530,MOL001530,n-methylasimilobine,Retinoic acid receptor RXR-alpha,158,459,,0.86299,0.724,酸枣仁,Suanzaoren
1530,MOL001530,n-methylasimilobine,Delta-type opioid receptor,163,467,,0.93879,0.74,酸枣仁,Suanzaoren
1530,MOL001530,n-methylasimilobine,5-hydroxytryptamine 2A receptor,175,502,,0.89651,0.714,酸枣仁,Suanzaoren
1530,MOL001530,n-methylasimilobine,Alpha-1A adrenergic receptor,191,556,,0.87911,0.702,酸枣仁,Suanzaoren
1530,MOL001530,n-methylasimilobine,5-hydroxytryptamine 2C receptor,203,590,,0.90341,0.702,酸枣仁,Suanzaoren
1530,MOL001530,n-methylasimilobine,Alpha-1B adrenergic receptor,216,632,,0.88781,0.732,酸枣仁,Suanzaoren
1530,MOL001530,n-methylasimilobine,Sodium-dependent dopamine transporter,239,713,,0.89202,0.72,酸枣仁,Suanzaoren
1530,MOL001530,n-methylasimilobine,Beta-2 adrenergic receptor,261,766,,0.91113,0.744,酸枣仁,Suanzaoren
1530,MOL001530,n-methylasimilobine,Alpha-1D adrenergic receptor,272,789,,0.84868,0.71,酸枣仁,Suanzaoren
1530,MOL001530,n-methylasimilobine,Sodium-dependent serotonin transporter,290,824,,0.91334,0.724,酸枣仁,Suanzaoren
1530,MOL001530,n-methylasimilobine,Mu-type opioid receptor,299,847,,0.92512,0.716,酸枣仁,Suanzaoren
1530,MOL001530,n-methylasimilobine,Gamma-aminobutyric acid receptor subunit alpha-1,309,872,,0.81815,0.732,酸枣仁,Suanzaoren
1530,MOL001530,n-methylasimilobine,Heat shock protein HSP 90,444,1939,,0.90341,0.708,酸枣仁,Suanzaoren
1530,MOL001530,n-methylasimilobine,"Neuronal acetylcholine receptor protein, alpha-7 chain",581,4095,,0.85369,0.712,酸枣仁,Suanzaoren
1530,MOL001530,n-methylasimilobine,Dopamine D1 receptor,7,23,,0.896881,0.706,酸枣仁,Suanzaoren
1530,MOL001530,n-methylasimilobine,Acetylcholinesterase,165,474,,0.801533,0.724,酸枣仁,Suanzaoren
1531,MOL001531,dl-Nuciferine,Prostaglandin G/H synthase 1,6,20,,0.878649,0.736,酸枣仁,Suanzaoren
1531,MOL001531,dl-Nuciferine,Dopamine D1 receptor,7,23,,0.928697,0.706,酸枣仁,Suanzaoren
1531,MOL001531,dl-Nuciferine,Muscarinic acetylcholine receptor M3,16,51,,0.962828,0.77,酸枣仁,Suanzaoren
1531,MOL001531,dl-Nuciferine,Muscarinic acetylcholine receptor M1,38,103,,0.976006,0.746,酸枣仁,Suanzaoren
1531,MOL001531,dl-Nuciferine,Androgen receptor,48,146,,0.890877,0.774,酸枣仁,Suanzaoren
1531,MOL001531,dl-Nuciferine,Sodium channel protein type 5 subunit alpha,70,220,,0.948634,0.748,酸枣仁,Suanzaoren
