gene_symbol
ACHE
ADCY2
ADRA1A
ADRA1B
ADRA1D
ADRA2A
ADRA2B
ADRA2C
ADRB1
ADRB2
ALDH5A1
BCHE
CAV1
CDC25B
CDK2
CDK4
CHRNA2
CRP
DCAF5
DRD1
DRD2
DRD3
DRD4
EGFR
ESR1
ESR2
FOSL1
GABRA6
GSK3B
HTR3A
IL10
IL2
IL6
MAOA
MAOB
MAPK14
ME2
MMP3
MPO
MTOR
NOS1
NR3C1
NUF2
OPRD1
OPRM1
PGR
PRKCA
PTGS1
PTGS2
RUNX1T1
SCN5A
SLC6A2
SLC6A4
TP53
VEGFA
