gene_symbol
PRNP
GABRB2
GABRB3
GABRA6
GABRA1
GABRG2
GABRB1
GABRP
GABRE
GABRA2
GABRA4
GABRD
GABRA5
GABRA3
GABRG1
GABRQ
GABRG3
MTNR1B
MTNR1A
HCRTR2
HCRTR1
HTR2A
HRH1
HTR2C
CRY1
ADRA2A
ADRA2B
ADRA2C
MEIS1
FOXP2
DRD2
APOE
NPAS3
SLC39A8
SALL1
SDK1
CACNA1C
ELAVL2
TET2
CNR1
PCDH9
SLC6A2
MDGA1
CA10
PTPRD
TEX29
SLC6A4
ASPSCR1
PAX8
NEGR1
TCF4
ATP2B2
LINC03051
NLGN1
MON1B
UGT1A1
SLCO3A1
CACNA2D1
VEGFA
BTBD9
TMEM161B
RASGRP1
PAX5
SORCS3
SPRY4
LRRTM4
IGSF9B
SNCA
EFNA5
PDE2A
INSYN1
PLCH1
TERF1
HAPSTR1
SHROOM4
FES
RASGEF1A
CSMD1
CACNA1B
CACNA1A
CACNG4
CACNA1D
CACNA1F
CACNA2D2
CACNA1S
CACNB4
CACNG2
CACNG3
CACNA1H
CACNG5
CACNA2D3
CACNG7
CACNA1G
CACNG1
CACNG6
CACNB3
CACNA1I
CACNA2D4
CACNA1E
CACNG8
CACNB2
CACNB1
GPC6
ZFHX4
CCDC148
TRPC7
MLLT10
GRIA1
CHCHD3
IMMP2L
KLF7
ADCY2
PAM
GALNT2
FOXP1
PYCR3
TCF7L2
NLGN4X
VRK1
GPRC5B
LSAMP
LIN28B
MAN1A2
TMEM106B
NOL4L
DAB1
ASXL3
TOX3
CSMD3
LHFPL6
OLFM4
KCNMB2
VWC2L
NPTXR
BEND7
ZIC4
MAP3K9
PCLO
NCAM1
KCNIP4
SAMD5
HEXIM1
ADARB1
AKT3
CNKSR2
KCND2
ZMYND8
GNAO1
UBR5
KSR2
SIM1
DNM1
MYO1H
SEMA6D
RBFOX1
FUBP1
CNTN5
DIAPH3
CD40
B3GALT1
SNX29
HS6ST3
PDE4B
POGK
B3GLCT
RIMS3
TMEM64
SDC3
SORCS1
QSOX2
KDM4B
NREP
NEK11
BCL11B
LRFN2
DUSP13B
TANC2
ADO
SEC11C
TYR
PCDH20
MAD1L1
EMCN
DCC
PRDM1
SGCZ
ZNF804A
SNRK
RHOD
MTA3
SLC38A7
CADM2
RREB1
CCDC175
ACTR1A
PELI1
CHAC2
HHLA2
PHF2
MAEL
FNDC3A
TNC
TSPAN15
RGS16
TRAF3IP1
OSBP2
PEX5L
CHD7
SHISA6
UNC5D
NKX6-3
LPP
EDARADD
SP4
GTF2B
TANK
ACTL8
SUPT20H
SERGEF
TCF12
VSTM2A
PPP2R2C
LDB2
IFT88
SLC13A5
TP73
KCNMB4
CPLX2
CSF3R
TMPRSS2
LRPPRC
KAT2B
PPP3CA
TENM4
LUZP2
SSR1
MED27
ASCC3
DOK7
SHISAL2B
EHHADH
FBXO11
FCN1
LRMDA
RASD1
TENM2
BEGAIN
IQSEC3
DUSP6
BRINP3
KCNQ3
QKI
NCS1
LY75
KIF1A
BMERB1
UBE2W
EP300
C1GALT1
EBF3
PLCL1
ARHGAP15
SKIL
MTMR7
PRKG2
ZNF521
SLC35B4
PRSS12
METAP1
FAM120A
ARHGEF6
BDNF
NUDCD3
NOVA1
KLF15
EPHB1
LRFN5
BLTP3A
INVS
ZAP70
DMXL2
PRIMA1
AGPS
NOL4
NRXN3
PRKN
EPHA7
MDFIC2
GALNT17
CCDC25
FANCE
CTTNBP2
ANXA3
MED12L
NKAIN2
BLTP1
ASTN2
RORB
CD180
FIBCD1
THAP5
CDH13
FHIT
ZNF804B
CCAR2
FAT4
IPO9
TOPAZ1
FNIP2
CASD1
PICALM
CNTNAP5
TLL2
PRDM15
ZFP64
LRP1B
BACE2
CCDC62
PAX6
ADGRB3
COL16A1
AS3MT
TAF5L
KCNG2
PRMT6
JUN
SORBS2
JMJD1C
TLE4
DSG1
FURIN
FANCL
LRRC69
STX17
VPS54
ARHGAP21
SCFD2
MARCHF1
GMNC
MAP3K13
PLEKHM2
FBXO33
RUNX1T1
ABRA
MYO16
FAM120B
UIMC1
ZNF784
KLC1
SLC7A5
CABYR
NKX1-1
ADCK1
KHDRBS2
SATB1
ISL1
NRSN1
RNF130
JARID2
GPC5
SYCE1L
GNPDA2
WRN
MAGI2
KIF2A
PKP4
FRMD4B
EYS
ADAMTS20
NCAPG
RARB
CCDC90B
CREB3L1
FAM120AOS
PTBP2
NRG3
CD302
PCSK2
FGF12
SND1
ACACA
RPS6KA6
TMEM132E
TLR4
ANAPC4
NMT1
RBSN
NFIB
PHF21A
P2RX3
GATB
PACRG
DOK6
MACIR
CABLES2
TAFA4
AJAP1
SEC16B
PKN2
LHFPL3
ERBB4
UGT1A6
THSD7B
ETV1
CCDC92
CAVIN3
ALKBH8
GLIS3
MCTP2
ILDR2
MAP2K5
CYP2D6
TPH1
PDZRN4
XRN2
CBLN4
POU5F2
MRPS27
ELF2
NPY
SEMA3F
SPOPL
CDIN1
CDH8
PUM3
RBM6
ALPK1
HTR1F
ZNF143
PDCD11
PRR16
FBXL4
MNT
NTM
NBN
PTN
NGLY1
ZWINT
KCTD16
IGSF10
CNTLN
SCGN
ANKS1B
NOS1
CALHM2
SGCE
ASTE1
HMGA2
PEX2
IRX1
WDR90
MAP1B
CYLC1
FBN2
KANSL1L
LSM5
MEIS2
ZNF717
DECR1
LRATD2
IGF2BP1
TSHZ2
HTR1A
C8B
ZDHHC24
SRSF6
SYT13
SMAD5
DNAJC19
DPYD
ST3GAL1
WSCD1
DGKI
SLC25A12
CDH10
ZNF326
CDC14C
DGKB
VAMP3
H3-3A
ZIC1
EFNB2
LRRIQ3
FAM241A
OXR1
DHX35
CAMK1D
FBXL17
IQCH
DCAF16
ATP5MK
B3GAT2
ZKSCAN2
FGF14
DLG2
MDFIC
HBP1
ICA1L
URB2
INSL6
SATB2
TLN2
CEP152
ADAMTS14
TUSC1
CPQ
PLLP
SLC2A13
NAALADL2
FBXO15
L3MBTL4
TMC5
LINC02288
LOC101927066
